"ID","Domain","Turn","Utterance","Frontend after/s","Backend after/s","Difference (backend − frontend)/s"
"veh_single_location_001","vehicle","turn 1","我现在在哪个位置？","1.295","—","—"
"veh_single_state_windows_002","vehicle","turn 1","帮我看看车窗现在是不是都关着。","1.553","3.793","2.240"
"veh_single_climate_start_003","vehicle","turn 1","提前把空调打开预处理一下。","1.535","3.021","1.486"
"veh_single_climate_heat_004","vehicle","turn 1","空调切到制热模式。","1.724","2.926","1.201"
"veh_single_climate_fan_005","vehicle","turn 1","把空调风量调到 5 档。","1.671","2.627","0.957"
"veh_single_temperature_all_006","vehicle","turn 1","全车温度设到 23 度。","1.850","3.514","1.664"
"veh_single_temperature_passenger_down_007","vehicle","turn 1","副驾温度调低两度。","1.908","3.321","1.413"
"veh_single_window_front_half_008","vehicle","turn 1","把前排车窗开到一半。","1.576","3.223","1.647"
"veh_single_window_rear_vent_009","vehicle","turn 1","后排车窗留条缝通风。","1.708","2.922","1.214"
"veh_single_sunroof_vent_010","vehicle","turn 1","把天窗调成通风模式。","1.066","2.361","1.295"
"veh_single_trunk_open_011","vehicle","turn 1","打开后备箱。","1.353","2.566","1.213"
"veh_single_charge_port_open_012","vehicle","turn 1","把充电口打开。","1.280","2.607","1.326"
"veh_single_seat_heater_driver_013","vehicle","turn 1","主驾座椅加热开到二档。","2.099","3.372","1.273"
"veh_single_rear_seat_cooler_014","vehicle","turn 1","打开后排座椅通风。","1.555","4.026","2.471"
"veh_single_steering_heat_015","vehicle","turn 1","打开方向盘加热。","1.313","2.728","1.415"
"veh_single_auto_seat_climate_016","vehicle","turn 1","副驾自动座椅温控打开。","1.729","3.087","1.359"
"veh_single_headlights_open_017","vehicle","turn 1","打开大灯。","1.484","2.696","1.212"
"veh_single_flash_lights_018","vehicle","turn 1","帮我闪一下灯找车。","1.204","2.639","1.435"
"veh_single_honk_019","vehicle","turn 1","鸣笛一下，我找不到车了。","2.146","3.729","1.583"
"veh_single_boombox_020","vehicle","turn 1","播放外放定位提示音。","1.240","3.408","2.168"
"veh_single_charge_limit_021","vehicle","turn 1","充电上限设到 90%。","1.411","2.580","1.170"
"veh_single_charge_amps_022","vehicle","turn 1","充电电流调到 32A。","1.330","2.417","1.087"
"veh_chitchat_then_window_023","vehicle","turn 2","把右侧车窗打开。","1.375","8.527","7.152"
"mus_single_state_001","music","turn 1","现在放的什么歌？","1.197","—","—"
"mus_single_play_song_002","music","turn 1","播放七里香。","1.171","2.264","1.092"
"mus_single_play_artist_003","music","turn 1","放一首周杰伦的歌。","0.988","2.848","1.860"
"mus_single_search_004","music","turn 1","搜一下青花瓷，先别播放。","1.049","—","—"
"mus_single_pause_005","music","turn 1","暂停音乐。","0.876","1.946","1.070"
"mus_single_toggle_006","music","turn 1","切换一下播放暂停状态。","1.067","2.810","1.743"
"mus_single_next_007","music","turn 1","下一首。","0.980","2.206","1.226"
"mus_single_previous_008","music","turn 1","上一首。","0.867","2.453","1.585"
"mus_single_volume_up_009","music","turn 1","音乐音量调高两格。","1.363","2.391","1.028"
"mus_single_volume_set_010","music","turn 1","媒体音量设到 8。","1.347","2.274","0.926"
"mus_single_mute_011","music","turn 1","把音乐静音。","1.155","2.325","1.171"
"mus_single_source_radio_012","music","turn 1","切到广播。","1.611","2.668","1.058"
"mus_single_source_bluetooth_013","music","turn 1","切换到蓝牙播放。","1.133","2.640","1.506"
"mus_single_favorite_add_014","music","turn 1","收藏当前这首歌。","1.163","2.960","1.797"
"mus_context_next_favorite_015","music","turn 1","播放下一首收藏。","1.030","2.445","1.415"
"mus_chitchat_then_play_016","music","turn 2","播放稻香。","1.047","2.288","1.241"
"mus_chitchat_volume_017","music","turn 2","把音乐音量调低一点。","1.565","3.075","1.510"
"nav_single_start_001","navigation","turn 1","导航去西湖","1.481","3.626","2.144"
"nav_single_start_strategy_002","navigation","turn 1","带我去灵隐寺，少走高速","1.736","3.759","2.022"
"nav_single_start_waypoint_003","navigation","turn 1","导航去杭州东站，中途经过黄龙体育中心","2.410","3.461","1.051"
"nav_single_route_query_004","navigation","turn 1","先帮我看看去萧山机场要多久，不要开始导航","1.782","2.692","0.910"
"nav_single_search_nearby_005","navigation","turn 1","附近有没有充电站？","1.581","—","—"
"nav_single_search_food_006","navigation","turn 1","有点饿了，找个附近能吃饭的地方","1.762","—","—"
"nav_single_favorite_home_007","navigation","turn 1","回家，走最快的路","1.905","3.084","1.179"
"nav_single_set_favorite_008","navigation","turn 1","把龙湖滨江天街设置成公司地址","1.747","—","—"
"nav_single_set_current_home_009","navigation","turn 1","把当前位置设为家","1.323","—","—"
"nav_single_strategy_default_010","navigation","turn 1","以后导航都尽量不走高速","1.483","—","—"
"nav_single_voice_brief_011","navigation","turn 1","导航播报简洁一点","1.568","—","—"
"nav_single_view_overview_012","navigation","turn 1","切到路线全览","1.174","2.230","1.056"
"nav_single_stop_013","navigation","turn 1","停止导航","0.883","2.509","1.626"
"nav_context_add_waypoint_014","navigation","turn 1","先带我去西湖","1.531","2.704","1.172"
"nav_context_add_waypoint_014","navigation","turn 2","中途去一下黄龙体育中心","1.625","6.566","4.941"
"nav_context_change_destination_015","navigation","turn 1","导航去西湖","1.736","2.993","1.257"
"nav_context_change_destination_015","navigation","turn 2","别去西湖了，改去灵隐寺","1.591","3.041","1.450"
"nav_context_remove_named_waypoint_016","navigation","turn 1","导航去杭州东站，途经西湖和黄龙体育中心","2.708","3.909","1.201"
"nav_context_remove_named_waypoint_016","navigation","turn 2","黄龙体育中心不去了","1.512","12.953","11.441"
"nav_context_remove_index_waypoint_017","navigation","turn 1","导航去机场，先经过西湖，再经过黄龙体育中心","3.346","3.994","0.648"
"nav_context_remove_index_waypoint_017","navigation","turn 2","删掉第一个途经点","1.453","3.243","1.790"
"nav_context_strategy_active_018","navigation","turn 1","导航去杭州东站","1.482","2.626","1.144"
"nav_context_strategy_active_018","navigation","turn 2","改成躲避拥堵","1.231","3.151","1.920"
"nav_context_route_status_019","navigation","turn 2","先帮我查一下去灵隐寺怎么走，只看路线，先别导航。","1.520","—","—"
"nav_context_voice_mute_020","navigation","turn 1","导航到杭州东站","1.605","2.939","1.334"
"nav_context_voice_mute_020","navigation","turn 2","导航声音先静音","1.265","2.807","1.542"
"nav_context_view_follow_021","navigation","turn 1","带我去机场","1.511","3.987","2.476"
"nav_context_view_follow_021","navigation","turn 2","看一下全程","1.198","—","—"
"nav_context_view_follow_021","navigation","turn 3","回到车头跟随视角","1.302","—","—"
"nav_context_favorite_after_set_022","navigation","turn 1","把阿里西溪园区设为公司","1.746","—","—"
"nav_context_favorite_after_set_022","navigation","turn 2","现在去公司","1.495","12.152","10.656"
"nav_context_search_then_start_023","navigation","turn 1","找一下附近的充电站","1.630","2.701","1.071"
"nav_context_search_then_start_023","navigation","turn 2","就去第一个搜索结果：充电站1号店","1.683","3.104","1.421"
"nav_context_preview_then_start_024","navigation","turn 1","先看看去灵隐寺怎么走","1.502","3.248","1.746"
"nav_context_preview_then_start_024","navigation","turn 2","可以，就开始导航吧","1.574","3.784","2.210"
"nav_chitchat_entity_distractor_025","navigation","turn 2","算了，先导航去公司吧。","1.148","6.775","5.627"
"nav_chitchat_emotion_then_start_026","navigation","turn 2","带我回家，少收费。","1.398","—","—"
"nav_chitchat_music_distractor_027","navigation","turn 2","先去杭州东站接人。","1.715","5.343","3.628"
"nav_chitchat_place_not_destination_028","navigation","turn 2","今天还是去西溪湿地吧。","1.761","4.096","2.335"
"nav_chitchat_weather_then_search_029","navigation","turn 2","附近有没有咖啡店？","1.696","—","—"
"nav_chitchat_joke_then_start_030","navigation","turn 2","还是老实导航去机场吧。","1.491","2.936","1.445"
"nav_chitchat_memory_then_favorite_031","navigation","turn 2","把阿里西溪园区设成公司。","1.705","—","—"
"nav_chitchat_repair_then_strategy_032","navigation","turn 2","后面路线都尽量避开高速。","1.964","—","—"
"nav_negative_unknown_favorite_035","navigation","turn 1","去公司","1.129","8.616","7.487"
"wea_single_current_001","weather","turn 1","今天天气怎么样？","1.052","3.361","2.309"
"wea_single_shanghai_rain_002","weather","turn 1","上海今天会下雨吗？","1.299","—","—"
"wea_single_beijing_temp_003","weather","turn 1","北京现在几度？","1.212","—","—"
"wea_single_hangzhou_wind_004","weather","turn 1","杭州今天风大吗？","1.129","—","—"
"wea_single_umbrella_005","weather","turn 1","今天出门要带伞吗？","—","—","—"
"wea_chitchat_then_shenzhen_006","weather","turn 2","查一下深圳天气。","1.242","—","—"
"wea_chitchat_hot_then_current_007","weather","turn 2","顺便看看现在天气。","—","—","—"
"wea_single_shenzhen_hot_008","weather","turn 1","深圳今天热不热？","1.187","—","—"
